"shcode","date","time","price","sign","change","diff","volume"
"001510","20201024","","730","2","5","0.69","3802465"
"002760","20201024","","2425","3","0","0.00","4290503"
"004410","20201024","","154","3","0","0.00","4068206"
"005930","20201024","","60200","2","100","0.17","9322232"
"008560","20201024","","3475","2","25","0.72","2973710"
"011200","20201024","","8070","2","430","5.63","12431787"
"017180","20201024","","6820","2","80","1.19","7777549"
"025750","20201024","","1820","2","10","0.55","27176868"
"047400","20201024","","4485","2","190","4.42","8667975"
"069500","20201024","","31520","2","115","0.37","7466985"
"122630","20201024","","15105","2","105","0.70","50517474"
"251340","20201024","","5650","2","25","0.44","97792688"
"251340","20201025","","5650","2","25","0.44","97792688"
"251340","20201025","","5650","2","25","0.44","97792688"
"122630","20201025","","15105","2","105","0.70","50517474"
"025750","20201025","","1820","2","10","0.55","27176868"
"005930","20201025","","60200","2","100","0.17","9322232"
"500019","20201025","","","","","",""
"530031","20201025","","","","","",""
"004410","20201025","","154","3","0","0.00","4068206"
"069500","20201025","","31520","2","115","0.37","7466985"
"008560","20201025","","3475","2","25","0.72","2973710"
"047400","20201025","","4485","2","190","4.42","8667975"
"011200","20201025","","8070","2","430","5.63","12431787"
"001510","20201025","","730","2","5","0.69","3802465"
"002760","20201025","","2425","3","0","0.00","4290503"
"017180","20201025","","6820","2","80","1.19","7777549"
"055550","20201025","","31350","2","1150","3.81","6673095"
"001780","20201025","","4250","2","250","6.25","23561905"
"031820","20201025","","1730","2","85","5.17","14654017"
"105840","20201025","","4810","2","180","3.89","14418063"
"034020","20201025","","13900","2","200","1.46","5155911"
"024110","20201025","","8720","2","270","3.20","4742543"
"316140","20201025","","9220","2","340","3.83","3248517"
"139130","20201025","","6900","2","240","3.60","1892443"
"086790","20201025","","32950","2","800","2.49","2500540"
"138930","20201025","","5910","2","140","2.43","1828428"
"000660","20201025","","83900","2","600","0.72","2609595"
"003060","20201025","","1280","2","20","1.59","3933295"
"005940","20201025","","10100","2","580","6.09","4073005"
"006800","20201025","","8800","2","100","1.15","1562517"
"261220","20201025","","6230","2","60","0.97","1512197"
"105560","20201025","","42250","2","350","0.84","2912806"
"000490","20201025","","7250","2","160","2.26","763593"
"014160","20201025","","1110","2","35","3.26","4247683"
"520009","20201025","","","","","",""
"011000","20201025","","26700","2","800","3.09","5508304"
"010050","20201025","","528","2","3","0.57","1715266"
"004020","20201025","","31950","2","200","0.63","1747911"
"068290","20201025","","23400","3","0","0.00","701250"
"032640","20201025","","11750","3","0","0.00","940308"
"102110","20201025","","31530","2","115","0.37","2735703"
"008600","20201025","","1230","2","10","0.82","2293558"
"252670","20201026","","4085","2","25","0.62","148824913"
"251340","20201026","","5860","2","210","3.72","96233417"
"114800","20201026","","5410","2","10","0.19","31239159"
"214330","20201026","","2830","2","30","1.07","10980265"
"004830","20201026","","5000","2","30","0.60","4749734"
"020560","20201026","","3805","2","20","0.53","4333393"
"005930","20201026","","60400","2","200","0.33","13257746"
"002900","20201026","","1335","2","40","3.09","15602348"
"000370","20201026","","3000","2","65","2.21","918860"
"252710","20201026","","4220","2","25","0.60","2737042"
"105560","20201026","","42400","2","150","0.36","1973675"
"250780","20201026","","5940","2","175","3.04","2265672"
"000270","20201026","","47950","2","1700","3.68","3059440"
"530036","20201026","","","","","",""
"200880","20201026","","4600","2","260","5.99","1951442"
"015260","20201026","","1540","2","45","3.01","14187459"
"028670","20201026","","3825","2","85","2.27","4578725"
"101140","20201026","","5980","2","390","6.98","2494497"
"003490","20201026","","21400","2","250","1.18","1651699"
"002780","20201026","","2410","2","30","1.26","423584"
"002630","20201026","","1505","2","15","1.01","1734052"
"088980","20201026","","11150","2","50","0.45","857798"
"005880","20201026","","1700","2","55","3.34","7671763"
"051630","20201026","","4260","3","0","0.00","282179"
"073240","20201026","","3845","2","205","5.63","1169026"
"002620","20201026","","21000","2","600","2.94","233656"
"570044","20201026","","","","","",""
"530037","20201026","","","","","",""
"032830","20201026","","65500","2","2400","3.80","4524261"
"204320","20201026","","34800","2","400","1.16","539145"
"018880","20201026","","12050","2","50","0.42","416758"
"252420","20201026","","4080","2","15","0.37","349062"
"001450","20201026","","26200","2","300","1.16","406009"
"129260","20201026","","2355","2","10","0.43","191019"
"249420","20201026","","16000","3","0","0.00","219311"
"330590","20201026","","5440","2","80","1.49","443901"
"226320","20201026","","30350","2","1150","3.94","1457388"
"530062","20201026","","","","","",""
"082640","20201026","","3485","2","55","1.60","236863"
"350520","20201026","","5120","2","70","1.39","251789"
