"shcode","date","time","preoffercha1","offerrem1","offerho1","bidho1","bidrem1","prebidcha1","totofferrem","totbidrem","totsun","msrate","close"
"251340","20201025","153000","-21311","89547","5655","5650","68469","-12371","1380370","827015","-553355","59.91","5650"
"251340","20201025","152000","-87965","110858","5655","5650","80840","-254697","1295223","931306","-363917","71.90","5655"
"251340","20201025","151900","0","198823","5655","5650","335537","0","1538158","1466670","-71488","95.35","5650"
"251340","20201025","151800","-120247","134361","5660","5655","121769","101385","1418162","1342427","-75735","94.66","5660"
"251340","20201025","151700","0","254608","5660","5655","20384","0","1515759","1343151","-172608","88.61","5655"
"251340","20201025","151600","0","141113","5655","5650","334460","0","1685684","1430120","-255564","84.84","5655"
"251340","20201025","151500","167981","205824","5660","5655","124199","-109842","1431071","1288005","-143066","90.00","5655"
"251340","20201025","151400","0","37843","5660","5655","234041","0","1299351","1324467","25116","101.93","5660"
"251340","20201025","151300","-55657","315463","5655","5650","43806","-119376","1608736","1281735","-327001","79.67","5650"
"251340","20201025","151200","95945","371120","5655","5650","163182","-63717","1695960","1405905","-290055","82.90","5655"
"251340","20201025","151100","-62810","275175","5655","5650","226899","0","1683144","1410598","-272546","83.81","5655"
"251340","20201025","151000","0","337985","5655","5645","150","-298660","1671801","1364914","-306887","81.64","5650"
"251340","20201025","150900","-86578","14636","5650","5645","298810","103182","1530094","1366338","-163756","89.30","5650"
"251340","20201025","150800","0","101214","5650","5645","195628","0","1609868","1357393","-252475","84.32","5650"
"251340","20201025","150700","46270","282677","5655","5650","56901","-35990","1623691","1353911","-269780","83.38","5650"
"251340","20201025","150600","0","236407","5655","5650","92891","0","1504269","1324153","-180116","88.03","5655"
"251340","20201025","150500","0","127373","5650","5645","275151","0","1497832","1520669","22837","101.52","5650"
"251340","20201025","150400","0","96161","5645","5640","243650","0","1334632","1393768","59136","104.43","5645"
"251340","20201025","150300","143508","171490","5640","5635","261725","-78548","1483701","1477301","-6400","99.57","5640"
"251340","20201025","150200","-152868","27982","5640","5635","340273","282492","1476284","1511479","35195","102.38","5635"
"251340","20201025","150100","0","180850","5640","5635","57781","0","1567409","1425941","-141468","90.97","5635"
"251340","20201025","150000","0","66158","5635","5630","152994","0","1396395","1441544","45149","103.23","5630"
"251340","20201025","145900","0","174372","5640","5635","87735","0","1422349","1393463","-28886","97.97","5635"
"251340","20201025","145800","0","86761","5635","5630","150271","0","1404066","1399249","-4817","99.66","5635"
"251340","20201025","145700","0","258466","5645","5640","16950","0","1382776","1303387","-79389","94.26","5640"
"251340","20201025","145600","0","44364","5640","5635","193941","0","1359463","1381949","22486","101.65","5635"
"251340","20201025","145500","19872","230995","5645","5640","63199","0","1341152","1285793","-55359","95.87","5645"
"251340","20201025","145400","0","211123","5645","5635","292939","203716","1306959","1438451","131492","110.06","5645"
"251340","20201025","145300","0","223931","5640","5635","89223","0","1414958","1455669","40711","102.88","5635"
"251340","20201025","145200","43760","159089","5635","5630","100555","-16423","1443913","1553545","109632","107.59","5630"
"251340","20201025","145100","0","115329","5635","5630","116978","0","1409886","1576721","166835","111.83","5635"
"251340","20201025","145000","0","145764","5630","5625","250136","0","1599234","1695196","95962","106.00","5630"
"251340","20201025","144900","0","166621","5625","5620","122045","0","1618845","1484275","-134570","91.69","5625"
"251340","20201025","144800","0","300","5620","5615","317869","0","1527167","1381000","-146167","90.43","5620"
"251340","20201025","144700","140258","145272","5630","5625","40001","-347931","1535027","1430872","-104155","93.21","5625"
"251340","20201025","144600","0","5014","5630","5625","387932","0","1467848","1604371","136523","109.30","5630"
